split,domain,class_id,class_name,pixel_count,pixel_ratio
Train,Rural,0,no-data,41236648,0.02878941
Train,Rural,1,background,351704076,0.24554257
Train,Rural,2,building,36891628,0.02575593
Train,Rural,3,road,27053972,0.01888776
Train,Rural,4,water,119674656,0.08355099
Train,Rural,5,barren,45460577,0.03173835
Train,Rural,6,forest,317735062,0.22182706
Train,Rural,7,agriculture,492598197,0.34390794
Train,Urban,0,no-data,58395411,0.04817492
Train,Urban,1,background,559004254,0.46116609
Train,Urban,2,building,244601897,0.20179113
Train,Urban,3,road,107065867,0.08832696
Train,Urban,4,water,43055087,0.03551949
Train,Urban,5,barren,87288280,0.07201089
Train,Urban,6,forest,91339922,0.07535341
Train,Urban,7,agriculture,21403138,0.01765711
Val,Rural,0,no-data,18246022,0.01754109
Val,Rural,1,background,438119047,0.42119242
Val,Rural,2,building,37637836,0.03618371
Val,Rural,3,road,26633535,0.02560455
Val,Rural,4,water,118973404,0.11437689
Val,Rural,5,barren,37210586,0.03577296
Val,Rural,6,forest,51420183,0.04943358
Val,Rural,7,agriculture,311946779,0.29989479
Val,Urban,0,no-data,27531051,0.03878236
Val,Urban,1,background,177131635,0.24952126
Val,Urban,2,building,85167955,0.11997414
Val,Urban,3,road,52956965,0.07459926
Val,Urban,4,water,80594412,0.11353149
Val,Urban,5,barren,37172547,0.05236411
Val,Urban,6,forest,74195464,0.10451744
Val,Urban,7,agriculture,175135923,0.24670994
