split,domain,channel,sample_count,pixel_count,mean_unique_values_per_image,mean_abs_first_diff,mean_abs_second_diff,parity_bias,midrange_peak_to_trough_ratio_40_100
Train,Urban,R,975,1020093070,237.3221,0.0001243285,0.0000132378,0.0003505386,2.739760
Train,Urban,G,975,1020093070,232.0328,0.0001465722,0.0000165434,0.0001364032,6.366220
Train,Urban,B,975,1020093070,241.1323,0.0007620522,0.0013837686,0.0002401644,14.831094
Train,Rural,R,1235,1293158887,243.5676,0.0001067624,0.0000114269,0.0004000986,2.269828
Train,Rural,G,1235,1293158887,240.6356,0.0001212340,0.0000097906,0.0001976501,3.117213
Train,Rural,B,1235,1293158887,243.9158,0.0003844390,0.0006114428,0.0002108859,3.788951
Val,Urban,R,593,620682151,234.8668,0.0001404994,0.0000149320,0.0001388102,3.105744
Val,Urban,G,593,620682151,234.8954,0.0001609521,0.0000152435,0.0002544604,4.496551
Val,Urban,B,593,620682151,235.3727,0.0007351744,0.0013305394,0.0004647548,10.349144
Val,Rural,R,936,980729416,230.8312,0.0001111246,0.0000153095,0.0007876811,3.484017
Val,Rural,G,936,980729416,233.7692,0.0001172155,0.0000114736,0.0001752716,2.248487
Val,Rural,B,936,980729416,237.9786,0.0002868685,0.0004162195,0.0005084379,4.803781
Test,Urban,R,734,768596783,227.1308,0.0001808374,0.0000328993,0.0006218384,5.270032
Test,Urban,G,734,768596783,227.5409,0.0001701847,0.0000303580,0.0007448470,9.205580
Test,Urban,B,734,768596783,234.7071,0.0007120245,0.0012532593,0.0005799569,9.673449
Test,Rural,R,909,952299954,240.0418,0.0001428608,0.0000169434,0.0008525003,3.053576
Test,Rural,G,909,952299954,242.2596,0.0001503304,0.0000144983,0.0008058616,4.494830
Test,Rural,B,909,952299954,246.6898,0.0006835580,0.0012080367,0.0009421254,10.809844
