split,domain,sample_id,image_path,mask_path,image_read_ok,mask_read_ok,image_size,mask_size,size_match,mask_present,mask_min,mask_max,unexpected_mask_values,image_md5,average_hash
Train,Urban,1366,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1366.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1366.png,True,True,1024x1024,1024x1024,True,True,1,6,0,1c038e73db648b809f27325dfb69dfba,000382829f9fe09f
Train,Urban,1367,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1367.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1367.png,True,True,1024x1024,1024x1024,True,True,1,5,0,7e4546bc29304dc86e4cda5a1d10647c,c44464f47cfc0000
Train,Urban,1368,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1368.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1368.png,True,True,1024x1024,1024x1024,True,True,1,6,0,986f61562a1d17f7cc0f356a47e1f06a,010ffcf03a0b030e
Train,Urban,1369,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1369.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1369.png,True,True,1024x1024,1024x1024,True,True,1,6,0,8391ddcf43e6dad0369e6decc513ad6e,0000033f3f7a4040
Train,Urban,1370,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1370.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1370.png,True,True,1024x1024,1024x1024,True,True,1,4,0,ae0e964587ff43f0a627714cac624001,b0fcfcfa37060c00
Train,Urban,1371,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1371.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1371.png,True,True,1024x1024,1024x1024,True,True,2,6,0,0fe5d7cac7b96561640e8d44ec15b26b,38b69f9d33118387
Train,Urban,1372,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1372.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1372.png,True,True,1024x1024,1024x1024,True,True,1,3,0,fc7d8d82574f30f2db56492255984d07,000b0f7f3b1b4303
Train,Urban,1373,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1373.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1373.png,True,True,1024x1024,1024x1024,True,True,0,7,0,bc01e32b48994adba4650e594098895e,03c7e1f3f3c1c040
Train,Urban,1374,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1374.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1374.png,True,True,1024x1024,1024x1024,True,True,1,3,0,6f11c2f9b930267e07477260d8f42542,0067081c1f1f1898
Train,Urban,1376,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1376.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1376.png,True,True,1024x1024,1024x1024,True,True,1,6,0,397c3caddc9ac386fe8c866f4e9a043f,680c1cccfebe8440
Train,Urban,1379,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1379.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1379.png,True,True,1024x1024,1024x1024,True,True,1,6,0,cf083905883141138e9f5797ca75697d,81fcfee701000021
Train,Urban,1381,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1381.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1381.png,True,True,1024x1024,1024x1024,True,True,1,6,0,33beb290eb2516e011f2bfbd7180035f,0101273a70fce3e0
Train,Urban,1383,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1383.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1383.png,True,True,1024x1024,1024x1024,True,True,1,6,0,5429e1ec210f3772c412c8be8b2e607d,131e8401003dffcf
Train,Urban,1384,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1384.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1384.png,True,True,1024x1024,1024x1024,True,True,1,6,0,912c296b764de0c395b2f920a9736755,048607c1e52583a7
Train,Urban,1385,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1385.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1385.png,True,True,1024x1024,1024x1024,True,True,0,6,0,5e3e292f927bebcbcef7a6361641c835,d8f83e2620089cfc
Train,Urban,1386,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1386.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1386.png,True,True,1024x1024,1024x1024,True,True,1,6,0,64ab0073b111eeff12470f20aea29df6,3e37870706060607
Train,Urban,1387,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1387.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1387.png,True,True,1024x1024,1024x1024,True,True,1,6,0,8674129b47b28fb1fc6e11a7f92d9c72,010301010687e7e7
Train,Urban,1389,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1389.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1389.png,True,True,1024x1024,1024x1024,True,True,1,6,0,0112d26904e5cc2ed7a10505a0abaa69,333333f0fedc1c88
Train,Urban,1390,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1390.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1390.png,True,True,1024x1024,1024x1024,True,True,1,6,0,35ad3c5833a215816bf11a18c4e6c3f2,c1c1d004149f8f8f
Train,Urban,1391,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1391.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1391.png,True,True,1024x1024,1024x1024,True,True,1,6,0,5f4ae8b0de24ca002feeecb18d96d10a,fcf08103923efcfc
