split,domain,sample_id,class_id,class_name,pixel_count,pixel_ratio
Train,Urban,1366,1,background,454360,0.43331146
Train,Urban,1366,2,building,70935,0.06764889
Train,Urban,1366,3,road,145675,0.13892651
Train,Urban,1366,5,barren,355060,0.3386116
Train,Urban,1366,6,forest,22546,0.02150154
Train,Urban,1367,1,background,421920,0.40237427
Train,Urban,1367,2,building,408860,0.38991928
Train,Urban,1367,3,road,76226,0.07269478
Train,Urban,1367,5,barren,141570,0.13501167
Train,Urban,1368,1,background,630409,0.60120487
Train,Urban,1368,2,building,251124,0.23949051
Train,Urban,1368,3,road,38173,0.03640461
Train,Urban,1368,5,barren,6906,0.00658607
Train,Urban,1368,6,forest,121964,0.11631393
Train,Urban,1369,1,background,406756,0.38791275
Train,Urban,1369,2,building,114137,0.10884953
Train,Urban,1369,3,road,80979,0.07722759
Train,Urban,1369,4,water,3230,0.00308037
Train,Urban,1369,5,barren,437784,0.41750336
Train,Urban,1369,6,forest,5690,0.00542641
Train,Urban,1370,1,background,1005478,0.95889854
Train,Urban,1370,2,building,15995,0.01525402
Train,Urban,1370,4,water,27103,0.02584743
Train,Urban,1371,2,building,15756,0.01502609
Train,Urban,1371,5,barren,809290,0.77179909
Train,Urban,1371,6,forest,223530,0.21317482
Train,Urban,1372,1,background,295560,0.28186798
Train,Urban,1372,2,building,733953,0.69995213
Train,Urban,1372,3,road,19063,0.01817989
Train,Urban,1373,0,no-data,31210,0.02976418
Train,Urban,1373,1,background,429803,0.40989208
Train,Urban,1373,2,building,396792,0.37841034
Train,Urban,1373,3,road,78890,0.07523537
Train,Urban,1373,5,barren,12795,0.01220226
Train,Urban,1373,6,forest,13345,0.01272678
Train,Urban,1373,7,agriculture,85741,0.08176899
Train,Urban,1374,1,background,766702,0.73118401
Train,Urban,1374,2,building,279283,0.26634502
Train,Urban,1374,3,road,2591,0.00247097
Train,Urban,1375,0,no-data,527760,0.50331116
Train,Urban,1375,4,water,520816,0.49668884
Train,Urban,1376,1,background,612032,0.5836792
Train,Urban,1376,2,building,201597,0.19225788
Train,Urban,1376,4,water,15884,0.01514816
Train,Urban,1376,5,barren,132282,0.12615395
Train,Urban,1376,6,forest,86781,0.08276081
Train,Urban,1377,0,no-data,145077,0.13835621
Train,Urban,1377,1,background,676855,0.64549923
Train,Urban,1377,2,building,153241,0.14614201
Train,Urban,1377,3,road,73403,0.07000256
Train,Urban,1378,0,no-data,115640,0.1102829
Train,Urban,1378,1,background,333740,0.31827927
Train,Urban,1378,2,building,278055,0.26517391
Train,Urban,1378,3,road,41474,0.03955269
Train,Urban,1378,5,barren,272572,0.25994492
Train,Urban,1378,6,forest,7095,0.00676632
Train,Urban,1379,1,background,541440,0.51635742
Train,Urban,1379,2,building,163395,0.15582561
Train,Urban,1379,3,road,246711,0.23528194
Train,Urban,1379,4,water,77705,0.07410526
Train,Urban,1379,6,forest,19325,0.01842976
Train,Urban,1380,0,no-data,144386,0.13769722
Train,Urban,1380,1,background,466695,0.44507504
Train,Urban,1380,2,building,339225,0.32351017
Train,Urban,1380,3,road,40435,0.03856182
Train,Urban,1380,6,forest,57835,0.05515575
Train,Urban,1381,1,background,510312,0.48667145
Train,Urban,1381,2,building,254076,0.24230576
Train,Urban,1381,3,road,176605,0.16842365
Train,Urban,1381,5,barren,45644,0.04352951
Train,Urban,1381,6,forest,61939,0.05906963
