split,domain,sample_id,total_pixels,present_class_count,dominant_class_id,dominant_class_name,dominant_ratio,boundary_density,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,ratio_0,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7
Train,Urban,1366,1048576,5,1,background,0.43331146,0.00626079,0,454360,70935,145675,0,355060,22546,0,0.00000000,0.43331146,0.06764889,0.13892651,0.00000000,0.33861160,0.02150154,0.00000000
Train,Urban,1367,1048576,4,1,background,0.40237427,0.01079135,0,421920,408860,76226,0,141570,0,0,0.00000000,0.40237427,0.38991928,0.07269478,0.00000000,0.13501167,0.00000000,0.00000000
Train,Urban,1368,1048576,5,1,background,0.60120487,0.01304279,0,630409,251124,38173,0,6906,121964,0,0.00000000,0.60120487,0.23949051,0.03640461,0.00000000,0.00658607,0.11631393,0.00000000
Train,Urban,1369,1048576,6,5,barren,0.41750336,0.00472387,0,406756,114137,80979,3230,437784,5690,0,0.00000000,0.38791275,0.10884953,0.07722759,0.00308037,0.41750336,0.00542641,0.00000000
Train,Urban,1370,1048576,3,1,background,0.95889854,0.00120376,0,1005478,15995,0,27103,0,0,0,0.00000000,0.95889854,0.01525402,0.00000000,0.02584743,0.00000000,0.00000000,0.00000000
Train,Urban,1371,1048576,3,5,barren,0.77179909,0.00308863,0,0,15756,0,0,809290,223530,0,0.00000000,0.00000000,0.01502609,0.00000000,0.00000000,0.77179909,0.21317482,0.00000000
Train,Urban,1372,1048576,3,2,building,0.69995213,0.00821391,0,295560,733953,19063,0,0,0,0,0.00000000,0.28186798,0.69995213,0.01817989,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1373,1048576,7,1,background,0.40989208,0.01559923,31210,429803,396792,78890,0,12795,13345,85741,0.02976418,0.40989208,0.37841034,0.07523537,0.00000000,0.01220226,0.01272678,0.08176899
Train,Urban,1374,1048576,3,1,background,0.73118401,0.00426805,0,766702,279283,2591,0,0,0,0,0.00000000,0.73118401,0.26634502,0.00247097,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1376,1048576,5,1,background,0.58367920,0.01085435,0,612032,201597,0,15884,132282,86781,0,0.00000000,0.58367920,0.19225788,0.00000000,0.01514816,0.12615395,0.08276081,0.00000000
Train,Urban,1379,1048576,5,1,background,0.51635742,0.00671518,0,541440,163395,246711,77705,0,19325,0,0.00000000,0.51635742,0.15582561,0.23528194,0.07410526,0.00000000,0.01842976,0.00000000
Train,Urban,1381,1048576,5,1,background,0.48667145,0.01259126,0,510312,254076,176605,0,45644,61939,0,0.00000000,0.48667145,0.24230576,0.16842365,0.00000000,0.04352951,0.05906963,0.00000000
Train,Urban,1383,1048576,4,1,background,0.66857147,0.00783827,0,701048,142266,183837,0,0,21425,0,0.00000000,0.66857147,0.13567543,0.17532063,0.00000000,0.00000000,0.02043247,0.00000000
Train,Urban,1384,1048576,5,2,building,0.54427242,0.01133023,0,421565,570711,38652,0,3260,14388,0,0.00000000,0.40203571,0.54427242,0.03686142,0.00000000,0.00310898,0.01372147,0.00000000
Train,Urban,1385,1048576,7,1,background,0.56349373,0.01101616,28449,590866,189703,148028,25254,28,66248,0,0.02713108,0.56349373,0.18091488,0.14117050,0.02408409,0.00002670,0.06317902,0.00000000
Train,Urban,1386,1048576,5,1,background,0.49547672,0.01627747,0,519545,388454,109192,0,12806,18579,0,0.00000000,0.49547672,0.37045860,0.10413361,0.00000000,0.01221275,0.01771832,0.00000000
Train,Urban,1387,1048576,6,1,background,0.68899536,0.00934035,0,722464,162646,55697,27889,30602,49278,0,0.00000000,0.68899536,0.15511131,0.05311680,0.02659702,0.02918434,0.04699516,0.00000000
Train,Urban,1389,1048576,5,5,barren,0.33695412,0.00979808,0,245829,295324,111589,0,353322,42512,0,0.00000000,0.23444080,0.28164291,0.10641956,0.00000000,0.33695412,0.04054260,0.00000000
Train,Urban,1390,1048576,5,1,background,0.53537941,0.01078849,0,561386,239872,22709,0,21383,203226,0,0.00000000,0.53537941,0.22875977,0.02165699,0.00000000,0.02039242,0.19381142,0.00000000
Train,Urban,1391,1048576,5,1,background,0.68393230,0.00541882,0,717155,152861,107944,0,61669,8947,0,0.00000000,0.68393230,0.14577961,0.10294342,0.00000000,0.05881214,0.00853252,0.00000000
Train,Urban,1392,1048576,6,2,building,0.35608292,0.01141089,0,296580,373380,9258,0,56451,27313,285594,0.00000000,0.28284073,0.35608292,0.00882912,0.00000000,0.05383587,0.02604771,0.27236366
Train,Urban,1393,1048576,3,1,background,0.58673668,0.01058897,0,615238,371030,62308,0,0,0,0,0.00000000,0.58673668,0.35384178,0.05942154,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1394,1048576,3,1,background,0.62309265,0.00655242,0,653360,116924,278292,0,0,0,0,0.00000000,0.62309265,0.11150742,0.26539993,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1395,1048576,6,1,background,0.39008904,0.00922627,0,409038,252481,94948,65975,223307,2827,0,0.00000000,0.39008904,0.24078465,0.09054947,0.06291866,0.21296215,0.00269604,0.00000000
Train,Urban,1396,1048576,2,1,background,0.90625572,0.00085055,0,950278,0,0,0,0,98298,0,0.00000000,0.90625572,0.00000000,0.00000000,0.00000000,0.00000000,0.09374428,0.00000000
Train,Urban,1397,1048576,3,1,background,0.61702824,0.00808265,0,647001,390673,10902,0,0,0,0,0.00000000,0.61702824,0.37257481,0.01039696,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1398,1048576,5,1,background,0.42059803,0.00549472,0,441029,334516,247215,0,2576,23240,0,0.00000000,0.42059803,0.31901932,0.23576260,0.00000000,0.00245667,0.02216339,0.00000000
Train,Urban,1399,1048576,4,1,background,0.48512363,0.01250869,0,508689,233133,8088,0,0,298666,0,0.00000000,0.48512363,0.22233295,0.00771332,0.00000000,0.00000000,0.28483009,0.00000000
Train,Urban,1400,1048576,6,1,background,0.37737465,0.00786978,0,395706,26385,21749,393378,0,169368,41990,0.00000000,0.37737465,0.02516270,0.02074146,0.37515450,0.00000000,0.16152191,0.04004478
Train,Urban,1401,1048576,6,1,background,0.50116062,0.01260988,0,525505,265363,11609,0,56432,113740,75927,0.00000000,0.50116062,0.25306988,0.01107121,0.00000000,0.05381775,0.10847092,0.07240963
Train,Urban,1402,1048576,5,1,background,0.76295948,0.00751991,0,800021,188433,34917,12552,0,12653,0,0.00000000,0.76295948,0.17970371,0.03329945,0.01197052,0.00000000,0.01206684,0.00000000
Train,Urban,1403,1048576,3,1,background,0.75850773,0.00692853,0,795353,179827,73396,0,0,0,0,0.00000000,0.75850773,0.17149639,0.06999588,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1404,1048576,5,1,background,0.62387753,0.00955179,0,654183,276317,58129,0,16268,43679,0,0.00000000,0.62387753,0.26351643,0.05543613,0.00000000,0.01551437,0.04165554,0.00000000
Train,Urban,1405,1048576,3,1,background,0.51683331,0.00769031,0,541939,255213,251424,0,0,0,0,0.00000000,0.51683331,0.24339008,0.23977661,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1406,1048576,5,1,background,0.45438385,0.00972315,0,476456,289068,141532,0,125000,16520,0,0.00000000,0.45438385,0.27567673,0.13497543,0.00000000,0.11920929,0.01575470,0.00000000
Train,Urban,1407,1048576,3,1,background,0.58471298,0.01193210,0,613116,348948,86512,0,0,0,0,0.00000000,0.58471298,0.33278275,0.08250427,0.00000000,0.00000000,0.00000000,0.00000000
Train,Urban,1408,1048576,5,1,background,0.49939728,0.00525129,0,523656,16413,467820,28232,0,12455,0,0.00000000,0.49939728,0.01565266,0.44614792,0.02692413,0.00000000,0.01187801,0.00000000
