split,domain,sample_id,total_pixels,present_class_count,dominant_class_id,dominant_class_name,dominant_ratio,count_0,count_1,count_2,count_3,count_4,count_5,count_6,count_7,ratio_0,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,z_ratio_0,z_ratio_1,z_ratio_2,z_ratio_3,z_ratio_4,z_ratio_5,z_ratio_6,z_ratio_7,z_present_class_count,z_dominant_ratio,mask_outlier_score
Train,Urban,1978,1048576,5,7,agriculture,0.81257153,0,11263,9362,172849,0,0,3059,852043,0.0,0.01074123,0.0089283,0.16484165,0.0,0.0,0.00291729,0.81257153,-0.4111091468493478,-2.285518548897219,-1.2935491452008132,0.9416408868963619,-0.30065858714143096,-0.48891156653385515,-0.601997546746072,11.16789588822147,0.2203825130544792,1.9660566867928646,11.716665045523794
Train,Rural,33,1048576,2,5,barren,0.99635601,0,3821,0,0,0,1044755,0,0,0.0,0.00364399,0.0,0.0,0.0,0.99635601,0.0,0.0,-0.3127067098526412,-1.070269133515018,-0.5059053596248139,-0.6354135643191303,-0.7929994581549885,11.015878299140567,-0.7705523924148251,-1.121526003324711,-2.2432135810828773,2.0957373229023997,11.625707231812626
Train,Urban,1544,1048576,5,7,agriculture,0.77814579,0,123903,40835,54726,0,0,13167,815945,0.0,0.11816311,0.03894329,0.05219078,0.0,0.0,0.01255703,0.77814579,-0.4111091468493478,-1.7404449502432202,-1.0922357840518628,-0.4447159961966593,-0.30065858714143096,-0.48891156653385515,-0.5218841981755591,10.684242463264525,0.2203825130544792,1.7180432573987987,11.06092139033106
Train,Rural,67,1048576,4,5,barren,0.95051193,0,15708,33529,0,0,996684,2655,0,0.0,0.01498032,0.03197575,0.0,0.0,0.95051193,0.00253201,0.0,-0.3127067098526412,-1.020112062244497,0.12217152778529587,-0.6354135643191303,-0.7929994581549885,10.492341537963094,-0.7617570437435331,-1.121526003324711,-0.8346961130253225,1.8378320335626854,10.871412421128209
Train,Urban,2272,1048576,1,4,water,1.0,0,0,0,0,1048576,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.4111091468493478,-2.34002104773703,-1.3534320930993857,-1.0870106104059734,8.163950127077634,-0.48891156653385515,-0.6262423781057634,-0.24806796635371764,-3.045799347086262,3.316347998200627,9.812031943970137
Train,Urban,1851,1048576,1,4,water,1.0,0,0,0,0,1048576,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.4111091468493478,-2.34002104773703,-1.3534320930993857,-1.0870106104059734,8.163950127077634,-0.48891156653385515,-0.6262423781057634,-0.24806796635371764,-3.045799347086262,3.316347998200627,9.812031943970137
Train,Rural,534,1048576,1,4,water,1.0,0,0,0,0,1048576,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3127067098526412,-1.0863917998575703,-0.5059053596248139,-0.6354135643191303,8.698204699515923,-0.36245012309216995,-0.7705523924148251,-1.121526003324711,-2.9474723151116544,2.1162373371965253,9.63044565051363
Train,Urban,2054,1048576,2,4,water,0.99900818,0,1040,0,0,1047536,0,0,0,0.0,0.00099182,0.0,0.0,0.99900818,0.0,0.0,0.0,-0.4111091468493478,-2.3349884147518596,-1.3534320930993857,-1.0870106104059734,8.155554758862698,-0.48891156653385515,-0.6262423781057634,-0.24806796635371764,-2.2292538820510766,3.309202627337383,9.579184318176397
Train,Urban,1753,1048576,2,4,water,0.99128151,0,9142,0,0,1039434,0,0,0,0.0,0.00871849,0.0,0.0,0.99128151,0.0,0.0,0.0,-0.4111091468493478,-2.295782213719892,-1.3534320930993857,-1.0870106104059734,8.090151520648801,-0.48891156653385515,-0.6262423781057634,-0.24806796635371764,-2.2292538820510766,3.2535373627854445,9.494807992893598
Train,Rural,1269,1048576,5,1,background,0.6156311,0,645536,2247,304176,0,43417,53200,0,0.0,0.6156311,0.00214291,0.29008484,0.0,0.04140568,0.05073547,0.0,-0.3127067098526412,1.6374397187246565,-0.4638137044548804,9.123491458168907,-0.7929994581549885,0.11040036494360113,-0.5943144831443747,-1.121526003324711,-0.13043737899654523,-0.04610886688670271,9.40762565466083
