split,domain,sample_id,image_path,mask_path,has_mask,width,height,pixel_count,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,min_r,min_g,min_b,max_r,max_g,max_b,split_domain,brightness_mean,brightness_std,rg_gap,gb_gap,rb_gap,z_mean_r,z_mean_g,z_mean_b,z_std_r,z_std_g,z_std_b,z_brightness_mean,z_brightness_std,z_rg_gap,z_gb_gap,z_rb_gap,rgb_outlier_score
Train,Rural,33,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/33.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/33.png,True,1024,1024,1048576,1.0,191.405563,170.801758,152.557083,34.113487,30.121674,27.48612,31,26,17,255,255,248,Train-Rural,171.58813466666666,30.573760333333336,20.603804999999994,18.244675,38.848479999999995,7.209798754399534,6.673783775305042,5.935069548164847,-0.2618358671676533,-0.22934556270301815,-0.2688400913787498,6.804477881342159,-0.2611298315893934,5.214011660646005,2.2889239180494707,6.157022847319441,15.768392421937778
Test,Rural,4590,/mnt/e/Computer Vision/data/LoveDA/Test/Rural/images_png/4590.png,,False,1024,1024,1048576,1.0,117.74411,124.205116,128.402222,52.026363,50.75687,52.604206,1,1,0,243,239,244,Test-Rural,123.45048266666667,51.795813,-6.461005999999998,-4.197105999999991,-10.658111999999988,5.4598612542139024,5.664180775038715,6.607873417746651,2.88695136444955,2.9746889444600484,3.2578749670754896,5.954701505736818,3.0830244379625356,0.06645813706599,-4.98091733974179,-3.673501024341455,14.718223581101533
Train,Rural,67,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/67.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/67.png,True,1024,1024,1048576,1.0,179.257385,160.747009,147.041138,46.211903,42.29351,38.907574,19,8,11,255,255,255,Train-Rural,162.34851066666667,42.47099566666667,18.510376000000008,13.705871000000002,32.21624700000001,6.466747519252851,5.934636622798564,5.515164554210282,0.9278624244444565,1.2813608332999864,1.0357244862944173,6.146425132828281,1.096657592513972,4.8110695950139375,1.4785861640152822,5.133830411047141,14.202159590299024
Train,Urban,1372,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1372.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1372.png,True,1024,1024,1048576,1.0,81.60881,91.929245,117.354759,41.445202,38.02953,37.546688,0,11,13,255,255,255,Train-Urban,96.96427133333333,39.00714,-10.32043499999999,-25.425514000000007,-35.745948999999996,0.4813175366478466,0.9306813928811513,2.7772328267304736,0.4692290589046948,0.4375613881808247,0.5741274556223839,1.4083929239643445,0.50187325612038,-2.175309839840399,-9.945580019113928,-9.05166650258964,14.048728180762335
Train,Rural,614,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/614.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/614.png,True,1024,1024,1048576,1.0,158.545471,142.88562,126.178566,71.021301,57.874767,51.599964,0,0,0,255,248,245,Train-Rural,142.53655233333333,60.165344,15.659851000000003,16.707053999999985,32.36690499999999,5.199889783059665,4.621605853043842,3.9269873389667165,3.3674957133415226,3.2152272284491317,2.485456052871942,4.735403035533798,3.1160480619444058,4.262402106584257,2.014403945894732,5.157073280539797,13.138859406643796
Train,Rural,736,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/736.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/736.png,True,1024,1024,1048576,1.0,164.019592,143.878662,129.350143,48.115166,35.939064,33.16066,7,7,12,255,255,255,Train-Rural,145.74946566666665,39.07163,20.140929999999997,14.528518999999989,34.669448999999986,5.534717966380027,4.694606597927612,4.168425754507741,1.115019878741659,0.49267930528270926,0.379308898985305,4.964229062408579,0.7087005736932335,5.124917734542257,1.6254580564082357,5.512299884457991,12.494649142676634
Train,Urban,1414,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1414.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1414.png,True,1024,1024,1048576,1.0,164.269135,163.779602,162.957153,39.684586,37.295769,33.650681,44,52,57,255,255,255,Train-Urban,163.66863,36.877012,0.48953299999999444,0.822449000000006,1.3119820000000004,6.187516525282359,6.166179484491018,5.971093881919215,0.2520980518506312,0.3437283076349272,0.05197076763576768,6.1532579253208235,0.22323692210067242,1.8790124174007563,-0.23433528649134155,1.2121779580616812,12.454432535541821
Val,Rural,3119,/mnt/e/Computer Vision/data/LoveDA/Val/Rural/images_png/3119.png,/mnt/e/Computer Vision/data/LoveDA/Val/Rural/masks_png/3119.png,True,1024,1024,1048576,1.0,158.764709,134.784058,127.276367,52.560505,48.186184,44.958668,0,0,0,255,255,255,Val-Rural,140.27504466666667,48.56845233333333,23.980651000000023,7.507690999999994,31.488342000000017,5.419960019239617,4.355544101090771,3.713911469764942,2.1018177100632567,2.2506616384175007,2.0586744970629485,4.841943940111772,2.1970525436074753,4.175444872153634,2.108992495599661,3.746614393613985,11.834352337735837
Train,Rural,102,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/102.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/102.png,True,1024,1024,1048576,1.0,142.817841,127.426132,108.827621,71.983734,55.265419,49.4706,0,0,0,255,243,228,Train-Rural,126.357198,58.906584333333335,15.391708999999992,18.598511000000002,33.990219999999994,4.237899030419226,3.4851442134337387,2.6061350724319725,3.462136606487462,2.8913682220512764,2.242238959201342,3.5830976399646786,2.972390481213868,4.2107902815055365,2.352096213997135,5.407511350144315,11.681180517860328
Train,Rural,1029,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/images_png/1029.png,/mnt/e/Computer Vision/data/LoveDA/Train/Rural/masks_png/1029.png,True,1024,1024,1048576,1.0,124.234459,132.86557,148.02066,55.407791,51.466347,64.217888,0,1,7,255,255,255,Train-Rural,135.04022966666665,57.030675333333335,-8.63111099999999,-15.155090000000001,-23.78620099999999,3.101234343064249,3.8850095018596877,5.58973132010232,1.8321404922060798,2.419846721985392,3.9266820731467798,4.201509477251892,2.758299931804799,-0.41310893509430996,-3.674120653905984,-3.505986858088747,11.480851204408454
