split,domain,channel,sample_count,pixel_count,mean_unique_values_per_image,mean_abs_first_diff,mean_abs_second_diff,parity_bias,midrange_peak_to_trough_ratio_40_100
Train,Urban,R,64,67108864,232.9375,0.0002494472,0.0001568362,0.0330225527,2.535929
Train,Urban,G,64,67108864,227.6719,0.0002737784,0.0001567279,0.0328831375,8.287184
Train,Urban,B,64,67108864,235.6406,0.0008615466,0.001454946,0.0329086483,20.31831
Train,Rural,R,64,67108864,242.5781,0.0001986651,0.0001177914,0.0243866146,2.318834
Train,Rural,G,64,67108864,239.6562,0.0002099007,0.0001127377,0.0239222646,3.006431
Train,Rural,B,64,67108864,243.2969,0.0004667106,0.0006894015,0.0240049064,3.674332
Val,Urban,R,64,67108864,234.125,0.0002880036,0.0001799985,0.0390917361,2.983961
Val,Urban,G,64,67108864,234.75,0.0003086861,0.000174251,0.038811028,5.636628
Val,Urban,B,64,67108864,236.1875,0.0008858882,0.0014655463,0.0386765003,13.854682
Val,Rural,R,64,67108864,222.0156,0.0002193863,0.0001420638,0.0291130841,3.438237
Val,Rural,G,64,67108864,226.125,0.0002253059,0.0001338855,0.0281307995,2.250702
Val,Rural,B,64,67108864,233.5938,0.000407835,0.0005420542,0.0282997787,5.371247
Test,Urban,R,64,67108864,222.2656,0.0003450624,0.0002076823,0.0370237231,5.50916
Test,Urban,G,64,67108864,223.1094,0.0003387134,0.000194781,0.0362274051,12.087074
Test,Urban,B,64,67108864,231.0312,0.0008090194,0.0012767861,0.0363504887,15.376204
Test,Rural,R,64,67108864,240.5,0.0002458682,0.0001382088,0.0272045135,3.055536
Test,Rural,G,64,67108864,243.4375,0.000259379,0.0001348759,0.0270988345,4.431204
Test,Rural,B,64,67108864,248.8438,0.0007551522,0.0012509287,0.027094841,11.41185
