split,domain,channel,modulus,dominant_residue,uniformity_score_l1,residue_0_share,residue_1_share,residue_2_share,residue_3_share,residue_4_share,residue_5_share,residue_6_share,residue_7_share
Train,Urban,R,2,0,0.0330225527,0.5165112764,0.4834887236,,,,,,
Train,Urban,R,4,0,0.0497041643,0.2748520821,0.2413804233,0.2416591942,0.2421083003,,,,
Train,Urban,R,8,0,0.0578922927,0.1539461464,0.1206682324,0.1208107919,0.1209109575,0.1209059358,0.1207121909,0.1208484024,0.1211973429
Train,Urban,G,2,0,0.0328831375,0.5164415687,0.4835584313,,,,,,
Train,Urban,G,4,0,0.0495119989,0.2747559994,0.2415178716,0.2416855693,0.2420405596,,,,
Train,Urban,G,8,0,0.058223784,0.154111892,0.1207503527,0.1206014752,0.1207001954,0.1206441075,0.1207675189,0.121084094,0.1213403642
Train,Urban,B,2,0,0.0329086483,0.5164543241,0.4835456759,,,,,,
Train,Urban,B,4,3,0.0608970225,0.2529200464,0.2195514888,0.2635342777,0.2639941871,,,,
Train,Urban,B,8,3,0.0804697871,0.1256395131,0.0922410637,0.1423909366,0.1426134855,0.1272805333,0.127310425,0.1211433411,0.1213807017
Train,Rural,R,2,0,0.0243866146,0.5121933073,0.4878066927,,,,,,
Train,Rural,R,4,0,0.0370920897,0.2685460448,0.2439915538,0.2436472625,0.2438151389,,,,
Train,Rural,R,8,0,0.0433353186,0.1466676593,0.1221196055,0.1219826937,0.1219483465,0.1218783855,0.1218719482,0.1216645688,0.1218667924
Train,Rural,G,2,0,0.0239222646,0.5119611323,0.4880388677,,,,,,
Train,Rural,G,4,0,0.0362663865,0.2681331933,0.2440933883,0.243827939,0.2439454794,,,,
Train,Rural,G,8,0,0.0422575176,0.1461287588,0.1220982969,0.1220117062,0.1220431924,0.1220044345,0.1219950914,0.1218162328,0.121902287
Train,Rural,B,2,0,0.0240049064,0.5120024532,0.4879975468,,,,,,
Train,Rural,B,4,0,0.0321376026,0.258181408,0.2339311987,0.2538210452,0.2540663481,,,,
Train,Rural,B,8,0,0.041805774,0.131541118,0.1073184758,0.1304947585,0.1306139976,0.12664029,0.1266127229,0.1233262867,0.1234523505
Val,Urban,R,2,0,0.0390917361,0.519545868,0.480454132,,,,,,
Val,Urban,R,4,0,0.0585902333,0.2792951167,0.2402317226,0.2402507514,0.2402224094,,,,
Val,Urban,R,8,0,0.0677992404,0.1588996202,0.1202272922,0.1203646362,0.1203465164,0.1203954965,0.1200044304,0.1198861152,0.119875893
Val,Urban,G,2,0,0.038811028,0.519405514,0.480594486,,,,,,
