split,domain,channel,modulus,dominant_residue,uniformity_score_l1,residue_0_share,residue_1_share,residue_2_share,residue_3_share,residue_4_share,residue_5_share,residue_6_share,residue_7_share
Train,Urban,R,2,0,0.0478355282,0.5239177641,0.4760822359,,,,,,
Train,Urban,R,4,0,0.0721765934,0.2860882967,0.2378685037,0.2378294674,0.2382137322,,,,
Train,Urban,R,8,0,0.0844135218,0.1672067609,0.1189051598,0.1188240225,0.1189291626,0.1188815358,0.1189633439,0.1190054450,0.1192845696
Train,Urban,G,2,0,0.0480124480,0.5240062240,0.4759937760,,,,,,
Train,Urban,G,4,0,0.0721403472,0.2860701736,0.2379233590,0.2379360504,0.2380704170,,,,
Train,Urban,G,8,0,0.0849403576,0.1674701788,0.1191348840,0.1188623006,0.1186382457,0.1185999948,0.1187884750,0.1190737498,0.1194321713
Train,Urban,B,2,0,0.0479205075,0.5239602538,0.4760397462,,,,,,
Train,Urban,B,4,3,0.0729457400,0.2616962397,0.2135271300,0.2622640141,0.2625126162,,,,
Train,Urban,B,8,3,0.1008323732,0.1361400099,0.0879590784,0.1440507128,0.1441011825,0.1255562297,0.1255680517,0.1182133013,0.1184114337
Train,Rural,R,2,0,0.0290760736,0.5145380368,0.4854619632,,,,,,
Train,Rural,R,4,0,0.0441405099,0.2720702550,0.2428132346,0.2424677818,0.2426487286,,,,
Train,Rural,R,8,0,0.0516199221,0.1508099610,0.1216091356,0.1212946981,0.1212723259,0.1212602939,0.1212040991,0.1211730837,0.1213764027
Train,Rural,G,2,0,0.0285838101,0.5142919050,0.4857080950,,,,,,
Train,Rural,G,4,0,0.0432166523,0.2716083261,0.2427844331,0.2426835789,0.2429236619,,,,
Train,Rural,G,8,0,0.0506717687,0.1503358844,0.1214962788,0.1213778304,0.1213268145,0.1212724418,0.1212881543,0.1213057484,0.1215968474
Train,Rural,B,2,0,0.0285551454,0.5142775727,0.4857224273,,,,,,
Train,Rural,B,4,0,0.0402274236,0.2587864884,0.2298862882,0.2554910843,0.2558361391,,,,
