split,domain,sample_id,image_path,mask_path,has_mask,width,height,pixel_count,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,min_r,min_g,min_b,max_r,max_g,max_b
Train,Urban,1366,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1366.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1366.png,True,1024,1024,1048576,1.0,79.125168,82.36937,79.13324,35.27224,31.791084,30.919907,20,20,8,255,255,255
Train,Urban,1367,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1367.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1367.png,True,1024,1024,1048576,1.0,82.945847,86.065063,82.659828,35.121265,30.371078,28.47716,19,11,1,255,255,255
Train,Urban,1368,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1368.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1368.png,True,1024,1024,1048576,1.0,73.611458,79.462532,77.012161,37.870682,33.818108,32.142208,14,25,17,254,253,255
Train,Urban,1369,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1369.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1369.png,True,1024,1024,1048576,1.0,87.005295,91.485962,88.500031,44.401997,41.323521,40.575981,5,26,23,255,255,255
Train,Urban,1370,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1370.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1370.png,True,1024,1024,1048576,1.0,73.580933,77.249557,74.333008,28.147959,23.42964,21.255571,19,31,25,255,255,255
Train,Urban,1371,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1371.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1371.png,True,1024,1024,1048576,1.0,69.574585,75.400848,72.867043,28.813187,25.821634,22.674063,22,25,9,255,255,255
Train,Urban,1372,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1372.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1372.png,True,1024,1024,1048576,1.0,81.60881,91.929245,117.354759,41.445202,38.02953,37.546688,0,11,13,255,255,255
Train,Urban,1373,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1373.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1373.png,True,1024,1024,1048576,1.0,67.821442,74.100822,72.997826,31.262774,30.385244,30.55648,0,0,0,255,255,255
Train,Urban,1374,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1374.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1374.png,True,1024,1024,1048576,1.0,81.279175,90.354851,92.710136,43.884441,40.09454,40.560642,7,21,15,217,217,221
Train,Urban,1375,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/images_png/1375.png,/mnt/e/Computer Vision/data/LoveDA/Train/Urban/masks_png/1375.png,True,1024,1024,1048576,1.0,28.895926,32.957573,32.742775,29.190647,33.272308,33.197392,0,0,0,75,86,95
