split,domain,sample_id,boundary_density,total_components,present_class_count,building_components,road_components,building_mean_component_area,road_mean_component_area,thin_class_components
Train,Rural,0,0.00482935,18,5,6,1,2404.5,19208.0,7
Train,Rural,1,0.00800151,85,6,2,2,1751.5,1242.5,4
Train,Rural,10,0.00309197,19,4,0,0,0.0,0.0,0
Train,Rural,100,0.00162808,8,4,1,2,3011.0,11164.5,3
Train,Rural,1000,0.00417927,38,4,0,0,0.0,0.0,0
Train,Rural,1001,0.00679298,37,5,1,1,2985.0,26035.0,2
Train,Rural,1002,0.0046308,25,4,13,0,2615.538462,0.0,13
Train,Rural,1004,0.00770511,136,6,0,1,0.0,35371.0,1
Train,Rural,1005,0.00535677,16,5,6,0,1988.666667,0.0,6
Train,Rural,1006,0.00201374,35,4,2,0,193.5,0.0,2
Train,Rural,1007,0.00134838,13,4,0,1,0.0,8440.0,1
Train,Rural,1008,0.00424418,18,5,7,0,31921.0,0.0,7
Train,Rural,1009,0.00938569,81,5,33,0,3080.757576,0.0,33
Train,Rural,101,0.00338074,31,5,1,0,10152.0,0.0,1
Train,Rural,1010,0.00752373,58,6,2,2,4174.0,14384.0,4
Train,Rural,1011,0.00233735,13,5,4,1,2065.5,25384.0,5
Train,Rural,1012,0.00527659,130,6,1,2,199.0,8421.0,3
Train,Rural,1014,0.00223855,6,3,0,0,0.0,0.0,0
Train,Rural,1015,0.00699297,36,4,0,0,0.0,0.0,0
Train,Rural,1016,0.005352,48,5,1,2,1358.0,876.5,3
Train,Rural,1017,0.00678868,62,6,0,1,0.0,11465.0,1
Train,Rural,1018,0.01367522,77,6,27,1,1548.592593,22959.0,28
Train,Rural,1019,0.00627463,29,4,8,0,1335.875,0.0,8
Train,Rural,102,0.00171543,7,3,0,0,0.0,0.0,0
Train,Rural,1020,0.00207531,8,3,2,0,27998.5,0.0,2
Train,Rural,1021,0.00375638,9,5,0,1,0.0,7330.0,1
Train,Rural,1022,0.00288482,19,4,5,0,567.8,0.0,5
Train,Rural,1023,0.0,1,1,0,0,0.0,0.0,0
Train,Rural,1024,0.00376592,13,5,3,1,1801.0,38730.0,4
Train,Rural,1025,0.0082435,29,5,5,2,2786.0,68948.5,7
Train,Rural,1026,0.00415397,14,3,0,0,0.0,0.0,0
Train,Rural,1027,0.01267097,113,6,34,1,3245.882353,15903.0,35
Train,Rural,1028,0.00541835,14,5,1,1,2794.0,19982.0,2
Train,Rural,1029,0.00623406,22,5,14,0,33473.0,0.0,14
Train,Rural,103,0.00158512,14,3,0,0,0.0,0.0,0
Train,Rural,1030,0.00257314,23,5,5,0,3589.8,0.0,5
Train,Rural,1031,0.00688367,30,7,4,2,2013.25,7566.5,6
Train,Rural,1032,0.00866496,19,4,0,1,0.0,13915.0,1
Train,Rural,1033,0.00705693,65,6,4,1,1074.0,24600.0,5
Train,Rural,1034,0.00601879,38,7,1,2,354.0,23559.0,3
Train,Rural,1035,0.00658392,28,5,2,1,4672.5,141314.0,3
Train,Rural,1037,0.00406567,42,4,3,0,1275.0,0.0,3
Train,Rural,1038,0.00322609,13,5,3,0,2890.0,0.0,3
Train,Rural,1039,0.00604505,21,6,0,1,0.0,15454.0,1
Train,Rural,104,0.00373013,35,5,3,0,3171.0,0.0,3
Train,Rural,1040,0.00652664,59,6,2,1,2598.5,682.0,3
Train,Rural,1041,0.00976849,36,4,0,3,0.0,11296.666667,3
Train,Rural,1042,0.00417497,38,3,0,0,0.0,0.0,0
